,SURCHARGE,MATERIAL_NBR,PERIOD,COMMERCIAL_SALES_TERRITORY_CODE,SALES_TCFXACT,NET_QTY,COMMERCIAL_TEAM,COMMERCIAL_SUBREGION_DESC,COMPANY_CODE,COMMERCIAL_DISTRICT_DESCRIPTION,COMMERCIAL_AREA_DESCRIPTION,COMMERCIAL_COUNTRY_NAME,COMMERCIAL_AREA_CODE,COMMERCIAL_DISTRICT,GROSS_SALES,REGION_CODE,REGION_DESCRIPTION,CROP,COMMERCIAL_TEAM_DESCRIPTION,BASE_SALES,DISCOUNT
0,1901.0312337688958,11947192.0,2020,923.0,11055.228304376868,631.6916886437577,CT13,UNDEF CA,1318.0,CD-Canada,US and CA,Canadá,CA6,CD-CA,13282.770626706768,2,NAM,TOMATO,US&CA,11381.739392937872,2227.542322329901
1,3728.965064925452,12502640.0,2022,923.0,25372.562201371144,24.50044375924546,CT13,UNDEF CA,1318.0,CD-Canada,US&CA,Canada,CA6,CD-CA,29994.76365964043,2,NAM,SWEET CORN,US&CA,26265.79859471498,4622.201458269286
2,4947.297579409085,11947192.0,2021,923.0,28593.653418525257,1198.988891811965,CT13,UNDEF CA,1318.0,CD-Canada,US and CA,Canadá,CA6,CD-CA,34026.520910702886,2,NAM,TOMATO,US&CA,29079.2233312938,5432.86749217763
3,1603.089077141474,12515444.0,2021,921.0,13154.710925773006,314.9821449653498,CT13,UNDEF US,3605.0,CD-USA,US and CA,USA,CA6,CD-US,16127.32841419716,2,NAM,TOMATO,US&CA,14524.239337055686,2972.6174884241536
4,2179.0334926076894,,2020,922.0,13118.38449170311,1587.437073115562,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,15659.614372934651,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,13480.580880326963,2541.2298812315425
5,2200.6232208834017,,2021,922.0,21467.339725372767,105.5308103447808,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,25727.412286767965,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,23526.789065884564,4260.072561395198
6,2788.6057673480123,,2020,217.0,19960.43790996969,385.0110615765059,CT32,ANDEAN NORTH,4206.0,CD-Ecuador,ANDEAN NORTH,Ecuador,CA25,CD-EC,22127.530809589767,4,SAM,OTHER VEGETABLE SEED,ANDEAN NORTH,19338.925042241754,2167.0928996200764
7,1624.542757766049,,2022,202.0,15421.357196345429,716.2199017444359,CT32,ANDEAN NORTH,5183.0,CD-Peru,ANDEAN NORTH,Peru,CA25,CD-PE,17553.86666779575,4,SAM,LETTUCE,ANDEAN NORTH,15929.323910029703,2132.5094714503225
8,1082.296561258508,,2022,921.0,9645.200405725092,921.8299419359512,CT13,UNDEF US,5183.0,CD-USA,US&CA,USA,CA6,CD-US,11341.94647803801,2,NAM,OTHER VEGETABLE SEED,US&CA,10259.649916779501,1696.746072312917
9,3643.624877152007,,2022,921.0,24688.0178638783,133.8692328263436,CT13,UNDEF US,5183.0,CD-USA,US and CA,USA,CA6,CD-US,29791.39263860782,2,NAM,OTHER VEGETABLE SEED,US&CA,26147.767761455812,5103.37477472952
10,3999.684821295472,,2021,922.0,22156.2362939216,1350.96782090668,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,27239.052380639077,2,NAM,TOMATO,MX&CACAR,23239.367559343606,5082.8160867174765
11,3163.6275941845975,,2021,922.0,17428.396733906295,807.7225081974816,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,21369.25991532189,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,18205.632321137295,3940.863181415596
12,4071.2149683502244,,2021,922.0,25632.348943128003,2172.879807466394,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,29395.658217833545,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,25324.44324948332,3763.309274705543
13,3755.8681830183814,,2021,922.0,25084.156949343807,1061.673854129821,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,30517.179203605363,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,26761.31102058698,5433.022254261556
14,2937.7011911253685,,2020,218.0,20143.724898141314,63.79709555916122,CT40,LAS,4206.0,CD-Uruguay,LAS,Uruguay,CA33,CD-UY,24304.1220940027,4,SAM,SQUASH,LAS,21366.420902877333,4160.397195861386
15,3350.827864856629,,2020,921.0,19603.935414118077,316.6359672986982,CT13,UNDEF US,5183.0,CD-USA,US and CA,USA,CA6,CD-US,23632.6842062497,2,NAM,OTHER VEGETABLE SEED,US&CA,20281.85634139307,4028.7487921316256
16,3537.4082701009147,,2021,921.0,21118.452817065598,481.0222341536357,CT13,UNDEF US,5183.0,CD-USA,US and CA,USA,CA6,CD-US,27055.379591080917,2,NAM,OTHER VEGETABLE SEED,US&CA,23517.971320980003,5936.926774015321
17,3453.396215385962,,2020,202.0,24916.31895961483,709.5514156975597,CT32,ANDEAN NORTH,5183.0,CD-Peru,ANDEAN NORTH,Peru,CA25,CD-PE,29538.68976274017,4,SAM,OTHER VEGETABLE SEED,ANDEAN NORTH,26085.29354735421,4622.37080312534
18,3554.755198491071,,2020,922.0,26350.896641469706,489.015545384234,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,29910.59335435143,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,26355.838155860358,3559.6967128817237
19,1855.8133130481656,,2020,922.0,15495.06118341085,330.2797291057226,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,17566.5705608016,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,15710.757247753434,2071.5093773907493
20,2685.5777911992104,,2020,217.0,20118.797208811407,47.33755632112332,CT32,ANDEAN NORTH,4206.0,CD-Venezuela,ANDEAN NORTH,Venezuela,CA25,CD-VE,22461.964324651533,4,SAM,OTHER VEGETABLE SEED,ANDEAN NORTH,19776.38653345232,2343.1671158401273
21,2951.3390716893527,10762610.0,2022,921.0,20358.60592304464,165.5668861373262,CT13,UNDEF US,3605.0,CD-USA,US&CA,USA,CA6,CD-US,24314.838654669864,2,NAM,CUCUMBER,US&CA,21363.499582980512,3956.232731625223
22,3578.989861838179,,2021,921.0,24056.200763786037,2103.829208550884,CT13,UNDEF US,5183.0,CD-USA,US&CA,USA,CA6,CD-US,28709.88964205767,2,NAM,OTHER VEGETABLE SEED,US&CA,25130.899780219494,4653.688878271635
23,2994.014107103911,,2020,202.0,18367.116115548506,966.2349103632841,CT32,ANDEAN NORTH,4206.0,CD-Peru,ANDEAN NORTH,Peru,CA25,CD-PE,20509.363987158704,4,SAM,OTHER VEGETABLE SEED,ANDEAN NORTH,17515.349880054793,2142.247871610198
24,3616.4627545020016,,2022,202.0,16490.30442429144,206.2967986891185,CT32,ANDEAN NORTH,5183.0,CD-Peru,ANDEAN NORTH,Peru,CA25,CD-PE,21012.76688520649,4,SAM,CAULIFLOWER,ANDEAN NORTH,17396.304130704488,4522.462460915049
25,1786.3928605870544,,2021,922.0,12593.89820009866,359.7451884342412,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,14201.018305297424,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,12414.62544471037,1607.120105198764
26,2349.9361509157784,,2020,216.0,23435.411132113226,971.1942386854388,CT32,ANDEAN NORTH,5183.0,CD-Colombia,ANDEAN NORTH,Colombia,CA25,CD-CO,28066.154033252988,4,SAM,CARROT,ANDEAN NORTH,25716.21788233721,4630.742901139762
27,4916.2645981821925,,2022,205.0,24701.36187191894,844.4556784144602,CT35,BRAZIL,4188.0,CD-Brazil,BRAZIL,Brazil,CA28,CD-BR,29732.772082091884,4,SAM,SQUASH,BRAZIL,24816.507483909692,5031.410210172946
28,3627.154058544466,,2020,214.0,26232.514744261134,691.4410795055996,CT40,LAS,4054.0,CD-Argentina,LAS,Argentina,CA33,CD-AR,29125.485485481175,4,SAM,CAULIFLOWER,LAS,25498.331426936707,2892.9707412200387
29,2024.4166408619658,,2021,206.0,15446.299996440757,16.87667950452249,CT40,LAS,4206.0,CD-Chile,LAS,Chile,CA33,CD-CL,18192.36303572927,4,SAM,OTHER VEGETABLE SEED,LAS,16167.946394867307,2746.063039288513
30,2110.930851261459,,2020,922.0,16541.076085566718,67.3778127467939,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,18206.423431562667,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,16095.492580301208,1665.3473459959498
31,3427.2410265143085,,2022,922.0,19832.89024247999,552.0980798183938,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,24224.711762141735,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,20797.470735627427,4391.821519661744
32,3855.7235230815336,11309206.0,2022,205.0,24725.588041126914,835.889557475633,CT35,BRAZIL,4188.0,CD-Brazil,BRAZIL,Brazil,CA28,CD-BR,28906.14198966386,4,SAM,TOMATO,BRAZIL,25050.418466582327,4180.553948536947
33,3201.7967335953317,11309206.0,2022,214.0,18863.85147279961,362.4162346060722,CT40,LAS,4054.0,CD-Argentina,LAS,Argentina,CA33,CD-AR,21762.65790719981,4,SAM,TOMATO,LAS,18560.861173604477,2898.8064344001973
34,1543.3419144616253,,2021,206.0,25119.89012792568,1460.256518458818,CT40,LAS,4206.0,CD-Chile,LAS,Chile,CA33,CD-CL,28058.532707783044,4,SAM,ONION,LAS,26515.19079332142,2938.6425798573664
