,COMMERCIAL_TEAM,COMMERCIAL_COUNTRY_NAME,PERIOD,Commercial_SUBREGION_DESC,COMMERCIAL_DISTRICT_DESCRIPTION,NET_QTY,COMMERCIAL_DISTRICT,REGION_DESCRIPTION,COMMERCIAL_SALES_TERRITORY_CODE,CROP,SALES_TC_FXACT,COMMERCIAL_AREA_DESCRIPTION,COMMERCIAL_AREA_CODE,COMMERCIAL_TEAM_DESCRIPTION,SURCHARGE,GROSS_SALES,MATERIAL_NBR,REGION_CODE,COMPANY_CODE,BASE_SALES,DISCOUNT
0,CT7,Italy,2020.03,ITALY,CD-Italy,149.730966760523,CD-IT,EMEA,602.0,"BEAN, GARDEN",25584.119071245605,SOUTH EUROPE,CAW1,ITALY,3451.9443438931226,28821.612015193034,,1,3515.0,25369.66767129991,3237.492943947429
1,CT7,Italy,2020.03,ITALY,CD-Italy,628.9137203017079,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,23548.190652652098,SOUTH EUROPE,CAW1,ITALY,3709.2133883389233,25955.10884444882,,1,3515.0,22245.895456109894,2406.9181917967235
2,CT52,Germany,2021.06,NW OPEN FIELD,CD-Germany-Openf,1576.427147492694,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,24316.20496941684,NORTH EUROPE,CAW2,NW OPEN FIELD,2759.406043635926,27273.342985848536,,1,3385.0,24513.93694221261,2957.1380164316947
3,CT52,Germany,2022.12,NW OPEN FIELD,CD-Germany-Openf,1151.868824907866,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,19969.610936562658,NORTH EUROPE,CAW2,NW OPEN FIELD,3008.2050685771246,24020.938538217306,,1,3385.0,21012.73346964018,4051.327601654647
4,CT52,Netherlands,2021.07,NW OPEN FIELD,CD-Netherland-Openf,1076.568791219462,CD-NL-OPEN,EMEA,669.0,CARROT,11042.822292153756,NORTH EUROPE,CAW2,NW OPEN FIELD,1855.6978558089017,13098.077135238585,,1,3605.0,11242.379279429684,2055.254843084829
5,CT59,Iran,2022.1,IRAN,CD-Iran,2046.737949942476,CD-IR,EMEA,688.0,CARROT,10199.676795046931,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,955.9105344096757,12048.930448887437,,1,3605.0,11093.019914477762,1849.253653840506
6,CT59,Iran,2022.03,IRAN,CD-Iran,683.4705203311933,CD-IR,EMEA,688.0,SQUASH,17067.77272748703,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,2801.6513248666233,20096.027194026712,,1,3605.0,17294.37586916009,3028.254466539681
7,CT53,Kuwait,2020.02,MIDDLE EAST,CD-Kuwait,814.7123289274152,CD-KW,EMEA,656.0,TOMATO,24463.106623665895,"TURKEY, M-EAST & MAGHREB",CAE2,MIDDLE EAST & EGYPT,3265.4368482690065,28102.359042630003,,1,3605.0,24836.922194360995,3639.25241896411
8,CT51,Netherlands,2021.09,EMEA GLASS,CD-Netherlands-Glass,208.0867175645832,CD-NL-GLAS,EMEA,663.0,TOMATO,13722.860222443114,NORTH EUROPE,CAW2,EMEA GLASS,2400.563352630239,16030.281132667724,,1,3605.0,13629.717780037485,2307.420910224609
9,CT52,Germany,2022.03,NW OPEN FIELD,CD-Germany-Openf,1775.678647463032,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,13727.913404682004,NORTH EUROPE,CAW2,NW OPEN FIELD,2278.8062814389477,16607.193774887477,,1,3385.0,14328.387493448528,2879.2803702054725
10,CT52,Germany,2022.06,NW OPEN FIELD,CD-Germany-Openf,267.083379649843,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,15348.37809555885,NORTH EUROPE,CAW2,NW OPEN FIELD,2193.9002227902815,18830.164968966274,,1,3385.0,16636.26474617599,3481.786873407423
11,CT52,Netherlands,2021.05,NW OPEN FIELD,CD-Netherlands-Openf,1088.110469898179,CD-NL-OPEN,EMEA,669.0,CAULIFLOWER,13118.038726784962,NORTH EUROPE,CAW2,NW OPEN FIELD,1897.4045830651453,15513.451189696269,,1,3605.0,13616.046606631124,2395.4124629113066
12,CTX1,Undef EMEA,2021.11,UNDEF EMEA,CD-Undef EMEA,704.1975769267771,CD-X1,EMEA,911.0,PEA,11972.494272804464,UNDEF EMEA,CAX1,UNDEF EMEA,2443.0582521978577,13529.410204013999,,1,3605.0,11086.351951816141,1556.9159312095348
13,CT7,Italy,2022.1,ITALY,CD-Italy,976.0477429066943,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,16625.352784409544,SOUTH EUROPE,CAW1,ITALY,2078.734453719333,20329.825553951057,,1,3515.0,18251.091100231723,3704.4727695415118
14,CT50,Germany,2022.12,EMEA PROCESSING,CD-Germany-Proc,6.778187871110163,CD-DE-PROC,EMEA,658.0,SWEET CORN,14796.556178858773,NORTH EUROPE,CAW2,EMEA PROCESSING,2040.8602365269069,17335.44969078436,,1,3605.0,15294.589454257453,2538.8935119255884
15,CT51,France,2020.11,EMEA GLASS,CD-France-Glass,648.0340479257379,CD-FR-GLAS,EMEA,664.0,TOMATO,17349.64938772931,NORTH EUROPE,CAW2,EMEA GLASS,2997.5121077931085,20276.295855295386,,1,3354.0,17278.78374750228,2926.646467566075
16,CT52,Netherlands,2022.03,NW OPEN FIELD,CD-Netherlands-Openf,1617.181781502468,CD-NL-OPEN,EMEA,669.0,BROCCOLI,23881.931518814337,NORTH EUROPE,CAW2,NW OPEN FIELD,2513.4182570726293,30131.38024466451,,1,3605.0,27617.96198759188,6249.448725850171
17,CTX1,Undef EMEA,2022.07,UNDEF EMEA,CD-Undef EMEA,117.6937630836481,CD-X1,EMEA,911.0,PEA,29932.765976478076,UNDEF EMEA,CAX1,UNDEF EMEA,6475.715454896025,35548.92874040329,,1,3605.0,29073.21328550726,5616.16276392521
